respondent_id,role,company_size,nps_score,primary_pain_point,feature_requests,satisfaction_data_aggregation,satisfaction_prd_writing,satisfaction_roadmap_planning,open_feedback
R001,Product Manager,1-50,6,Spending too much time manually aggregating feedback from multiple tools,Automated feedback aggregation; AI-assisted PRD drafting,2,3,2,"I copy-paste from Intercom into a Google Doc every week. It takes 3 hours. There has to be a better way."
R002,Senior PM,51-200,8,Lack of quantitative evidence for prioritisation decisions,RICE scoring from real data; Theme clustering across sources,3,4,3,"I can prioritise but I can't prove my prioritisation is right. Stakeholders always challenge me and I don't have hard numbers."
R003,Head of Product,201-500,5,PRD quality: acceptance criteria too vague causing rework,Gherkin AC generator; Technical feasibility checker,2,2,3,"Engineering comes back with so many clarifying questions. I feel like I'm writing PRDs wrong but I don't know how to write them better."
R004,Associate PM,1-50,7,No single source of truth for customer feedback,Unified feedback dashboard; Source deduplication,2,3,2,"We use 5 tools: Intercom, Typeform, Canny, Slack, and email. The same customer complaint is in all 5 places but counted separately."
R005,Director of Product,51-200,4,Roadmaps lack cross-team alignment,Cross-squad theme detection; Standardised prioritisation unit,1,2,2,"Every PM on my team uses different metrics. I can't compare their roadmaps. It's a mess."
R006,Product Manager,201-500,9,Search and retrieval of past customer data is slow,Vector search over historical feedback; Natural language query interface,4,3,4,"When I write a PRD I know I've seen this problem before in customer interviews but I can't find the specific quote. Search is useless."
R007,Senior PM,1-50,6,Entity resolution: same problem described many ways,Semantic deduplication of feedback; Synonym clustering,2,3,3,"'Slow search' and 'results take too long' and 'search is broken' are the same problem. My tools count them separately. Frustrating."
R008,PM,51-200,7,Acceptance criteria don't match engineering expectations,Given/When/Then AC generation; Edge case surfacing,3,2,4,"My ACs are always incomplete. Engineers find edge cases in planning that I should have caught. I need help being more thorough."
R009,VP Product,501-1000,8,Executive stakeholder buy-in for roadmap decisions,Data-driven roadmap presentations; Quantified impact estimates,3,4,3,"I need to present to the board quarterly. Showing 'customer said X' is not enough. I need 'N customers mentioned X, representing Y% of ARR'."
R010,Product Manager,1-50,5,Time to first PRD draft is too long,PRD template with pre-populated data; Automated first draft,2,2,3,"It takes me 2 days to write a PRD. I have 4 features in my backlog. I can't keep up."
R011,Head of Product,201-500,6,Missing non-functional requirements in PRDs,NFR checklist auto-population; Performance SLO suggestions,3,3,3,"I always forget to specify performance and security requirements. Engineering has to come back and ask. Delays every sprint."
R012,Senior PM,51-200,8,Feedback themes drift over time without re-analysis,Rolling trend analysis; Automated re-clustering on new data,3,4,4,"Themes that were important 6 months ago may not be important now. I have no way to track how customer priorities shift over time."
R013,PM,1-50,7,Onboarding friction is top issue but hard to quantify,Frequency analysis by product area; Funnel drop-off correlation,2,3,3,"I know onboarding is a problem. Every interview mentions it. But I can't say 'X% of customers drop off at step 3' because I don't have that data connected to feedback."
R014,Product Manager,51-200,6,Difficulty connecting qualitative feedback to quantitative metrics,Feedback-to-metric linking; Correlation analysis,2,3,2,"I have customer interviews saying search is slow. I have analytics showing search usage drop-off. I can't connect these two datasets."
R015,Senior PM,201-500,9,Co-occurring problems not visible,Pain point co-occurrence graph; Dependency mapping,4,4,4,"I solved the notification problem last quarter and immediately three other complaints went away. I didn't know they were connected. Would have prioritised differently."
R016,Director of Product,51-200,5,PRD review process is slow and low-quality,Automated technical review; Pre-submission completeness check,2,2,2,"Engineering reviews happen in sprint planning. By then it's too late to change the PRD substantially. I need an earlier review step."
R017,PM,1-50,7,No institutional memory of past decisions,Decision log with rationale; Historical PRD search,3,3,4,"When a new engineer joins they ask 'why did you build it this way?' I have no record. Everything is in people's heads."
R018,Head of Product,501-1000,6,Roadmap communication to non-technical stakeholders,Visual roadmap generator; Jargon-free executive summaries,2,3,3,"Sales wants to know what's coming. I give them the Jira roadmap and they're confused. I need to translate constantly."
R019,Associate PM,51-200,8,Feature estimation accuracy,Historical velocity integration; Complexity-based sizing suggestions,3,3,4,"My estimates are always off by 2x. I need to learn from past sprints but I have no tool that connects past effort to current estimation."
R020,PM,201-500,6,Feedback from different customer segments not separated,Segment-level analysis; Enterprise vs SMB signal splitting,2,3,3,"Enterprise customers want different things than SMB customers. My analysis lumps them together. I make the wrong call for both."
